"","workerId","gen","chain","prepM","prepR","strings","arrayTraining","time","seen","level","encodingCorrected","consonants"
"200","A13",4,"C","right","atop","solsil moy solsil rae kuka rae tultol","[[[3,3],[0]],[2]]",1597839895,"false","4","smsrkrt","kvts"
"201","A14",3,"F","right","atop","valtal","0",1597770222,"true","1","v","vkst"
"202","A14",3,"F","right","atop","kolkul","1",1597770225,"true","1","k","vkst"
"203","A14",3,"F","right","atop","siso","2",1597770230,"true","1","s","vkst"
"204","A14",3,"F","right","atop","tontin","3",1597770233,"true","1","t","vkst"
"205","A14",3,"F","right","atop","valtal rae siso","[0,[2]]",1597770248,"true","2","vrs","vkst"
"206","A14",3,"F","right","atop","valtal moy kolkul","[1,0]",1597770254,"true","2","vmk","vkst"
"207","A14",3,"F","right","atop","tontin moy valtal","[0,3]",1597770261,"true","2","tmv","vkst"
"208","A14",3,"F","right","atop","tontin rae kolkul","[3,[1]]",1597770269,"true","2","trk","vkst"
"209","A14",3,"F","right","atop","tontin moy siso","[2,3]",1597770279,"true","2","tms","vkst"
"210","A14",3,"F","right","atop","siso moy tontin","[3,2]",1597770285,"true","2","smt","vkst"
"211","A14",3,"F","right","atop","siso rae valtal","[2,[0]]",1597770292,"true","2","srv","vkst"
"212","A14",3,"F","right","atop","siso rae kolkul","[2,[1]]",1597770298,"true","2","srk","vkst"
"213","A14",3,"F","right","atop","valtal moy tontin","[3,0]",1597770307,"false","2","vmt","vkst"
"214","A14",3,"F","right","atop","kolkul rae siso","[1,[2]]",1597770314,"false","2","krs","vkst"
"215","A14",3,"F","right","atop","kolkul moy valtal","[0,1]",1597770320,"false","2","kmv","vkst"
"216","A14",3,"F","right","atop","kolkul rae tontin","[1,[3]]",1597770329,"false","2","krt","vkst"
"217","A14",3,"F","right","atop","tontin rae tontin rae siso","[[3,[3]],[2]]",1597770336,"true","3","trtrs","vkst"
"218","A14",3,"F","right","atop","tontin rae valtal moy siso","[2,[3,[0]]]",1597770349,"true","3","trvms","vkst"
"219","A14",3,"F","right","atop","valtal moy siso rae valtal","[0,[[2,0]]]",1597770370,"true","3","vmsrv","vkst"
"220","A14",3,"F","right","atop","siso rae tontin moy valtal","[[3,2],[0]]",1597770405,"true","3","srtmv","vkst"
"221","A14",3,"F","right","atop","tontin rae siso rae siso","[[1,[2]],[2]]",1597770412,"true","3","trsrs","vkst"
